open,high,low,close,volume,weekday,month,holiday,close_change,volume_change,price_gap,is_closed_by_high,is_closed_by_low,dj_headline_neu,dj_headline_compound,dj_headline_neg,dj_headline_pos,nytimes_headline_neu,nytimes_headline_compound,nytimes_headline_neg,nytimes_headline_pos,wsj_headline_neu,wsj_headline_compound,wsj_headline_neg,wsj_headline_pos,dj_abstract_neu,dj_abstract_compound,dj_abstract_neg,dj_abstract_pos,nytimes_abstract_neu,nytimes_abstract_compound,nytimes_abstract_neg,nytimes_abstract_pos,wsj_abstract_neu,wsj_abstract_compound,wsj_abstract_neg,wsj_abstract_pos
30.4471435546875,30.47857093811035,30.079999923706055,30.104286193847656,88102700.0,5,1,1,0.0,0.0,0.3985710144042969,0,1,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30.4471435546875,30.47857093811035,30.079999923706055,30.104286193847656,88102700.0,6,1,0,0.0,0.0,0.3985710144042969,0,1,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
30.4471435546875,30.47857093811035,30.079999923706055,30.104286193847656,88102700.0,7,1,0,0.0,0.0,0.3985710144042969,0,1,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.489999771118164,30.64285659790039,30.34000015258789,30.572856903076172,123432400.0,1,1,0,0.4685707092285156,35329700.0,0.3028564453125,1,1,5.0,0.0,0.0,0.0,27.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
30.657142639160156,30.79857063293457,30.464284896850586,30.625713348388672,150476200.0,2,1,0,0.0528564453125,27043800.0,0.3342857360839844,1,1,14.0,0.0,0.0,0.0,37.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,36.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
30.625713348388672,30.747142791748047,30.10714340209961,30.13857078552246,138040000.0,3,1,0,-0.48714256286621094,-12436200.0,0.6399993896484375,0,1,9.0,1.0,0.0,0.0,45.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,46.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
30.25,30.285715103149414,29.864286422729492,30.082857131958008,119282800.0,4,1,0,-0.055713653564453125,-18757200.0,0.4214286804199219,1,1,38.0,0.0,0.0,0.0,59.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,37.0,1.0,0.0,0.0,54.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0
30.042856216430664,30.285715103149414,29.86571502685547,30.28285789489746,111902700.0,5,1,0,0.20000076293945312,-7380100.0,0.4200000762939453,1,0,34.0,1.0,0.0,0.0,41.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,32.0,3.0,0.0,0.0,42.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0
30.042856216430664,30.285715103149414,29.86571502685547,30.28285789489746,111902700.0,6,1,0,0.0,0.0,0.4200000762939453,1,0,15.0,1.0,0.0,0.0,18.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
30.042856216430664,30.285715103149414,29.86571502685547,30.28285789489746,111902700.0,7,1,0,0.0,0.0,0.4200000762939453,1,0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
